From File,To File
doc/APIchunk10.html,doc/encoding.html
doc/APIchunk10.html,doc/entities.html
doc/APIchunk10.html,doc/example.html
doc/APIchunk10.html,doc/FAQ.html
doc/APIchunk10.html,doc/help.html
doc/APIchunk10.html,doc/html/libxml-c14n.html
doc/APIchunk10.html,doc/html/libxml-catalog.html
doc/APIchunk10.html,doc/html/libxml-debugxml.html
doc/APIchunk10.html,doc/html/libxml-docbparser.html
doc/APIchunk10.html,doc/html/libxml-encoding.html
doc/APIchunk10.html,doc/html/libxml-entities.html
doc/APIchunk10.html,doc/html/libxml-globals.html
doc/APIchunk10.html,doc/html/libxml-hash.html
doc/APIchunk10.html,doc/html/libxml-htmlparser.html
doc/APIchunk10.html,doc/html/libxml-nanoftp.html
doc/APIchunk10.html,doc/html/libxml-nanohttp.html
doc/APIchunk10.html,doc/html/libxml-parser.html
doc/APIchunk10.html,doc/html/libxml-parserinternals.html
doc/APIchunk10.html,doc/html/libxml-sax.html
doc/APIchunk10.html,doc/html/libxml-threads.html
doc/APIchunk10.html,doc/html/libxml-tree.html
doc/APIchunk10.html,doc/html/libxml-uri.html
doc/APIchunk10.html,doc/html/libxml-valid.html
doc/APIchunk10.html,doc/html/libxml-xmlerror.html
doc/APIchunk10.html,doc/html/libxml-xmlio.html
doc/APIchunk10.html,doc/html/libxml-xmlmemory.html
doc/APIchunk10.html,doc/html/libxml-xpath.html
doc/APIchunk10.html,doc/html/libxml-xpathinternals.html
doc/APIchunk10.html,doc/html/libxml-xpointer.html
doc/APIchunk10.html,doc/index.html
doc/APIchunk10.html,doc/interface.html
doc/APIchunk10.html,doc/intro.html
doc/APIchunk10.html,doc/library.html
doc/APIchunk10.html,doc/namespaces.html
doc/APIchunk10.html,doc/news.html
doc/APIchunk10.html,doc/python.html
doc/APIchunk10.html,doc/threads.html
doc/APIchunk10.html,doc/tree.html
doc/APIchunk10.html,doc/upgrade.html
doc/APIchunk10.html,doc/xml.html
doc/APIchunk10.html,doc/xmldtd.html
